ID,Institution ID,Name,Description,Email,Status,Visibility,Website,Instagram,Facebook,Twitter
200994,6178,Academic Student Organizations,N/A,N/A,Active,Public,N/A,N/A,N/A,N/A
199583,6178,Activity and Service Business Office - ASBO,"<p>The Activity and Service Business Office coordinates University Wide Activity and Service (A&amp;S) Fee disbursements, while providing quality support services to student clubs, councils and organizations efficiently and effectively. The office works along with the Student Government Association comptrollers to ensure that all A&amp;S funds are allocated properly and that all recipients of funds comply with their itemized budgets.</p>",asbo@fiu.edu,Active,Public,http://asbo.fiu.edu,N/A,N/A,N/A
208421,6178,Adventist Campus Fellowship,"<p>Adventist Christian Fellowship (A.C.F.) exists to promote faith, friendship, and community at Florida International University. A.C.F. acts through campus activities, biblical discussions, and community service events to cultivate meaningful relationships within the student body. Adventist Christian Fellowship hopes to develop in its participants the principles of love and service as exemplified by Jesus Christ.</p>",acf@secsda.org,Active,Public,http://www.secsda.org/acf,https://www.instagram.com/fiu_acf/,http://facebook.com/groups/36076898382/,N/A
375996,6178,Afghanistan Education Student Outreach Project ,"<p>The Afghan Education Student Outreach Project provides virtual English classes and one-on-one mentoring for Afghan girls and young women online. We conduct a progression of student-led, leveled English classes: Elementary, Intermediate-DuoLingo Test Prep, Advanced-Literature and Writing. We pair students with fluent speakers and advanced Afghans for one on one lessons and practice.</p>
<p class="""">A place to be a student, a friend, a mentor.</p>
<p class="""">A place where your voice and your actions matter.</p>
<p class="""">A place where you can rely on others and where others rely on you.</p>
<p class="""">Access to an international community of volunteers.</p>",N/A,Active,Public,N/A,N/A,N/A,N/A
377306,6178,African Graduate Students Association,"<p style=""font-weight: 400;""><span style=""font-weight: 400;"">The organization has the vision of becoming one of the prominent and vibrant student organizations at FIU that will be at the center of shaping narrations about Africa, promoting a positive image about Africa and African students, and contributing to research and policies that could potentially improve conditions on the African continent</span></p>
<p style=""font-weight: 400;"">Our mission is to empower and support the academic and professional growth of African students at FIU, providing them with the resources, guidance, and opportunities necessary to thrive in their educational journey and beyond.</p>
<p style=""font-weight: 400;"">&nbsp;</p>
<p style=""font-weight: 400;"">&nbsp;</p>",asga@fiu.edu,Active,Public,N/A,https://www.instagram.com/agsa_fiu/,N/A,N/A
343077,6178,African Student Association ,"<p>An organization aiming to unite and bring together the Africans in diaspora, offering them an opportunity to show their culture as well as inform other about their culture. A community where everyone is welcome to enjoy and revel in multiple cultures from Africa, and also a community like home away from home.</p>",africanstudentunitedfiu@gmail.com,Active,Public,N/A,https://www.instagram.com/asa.fiu/?igshid=MzRlODBiNWFlZA%3D%3D,N/A,N/A
207751,6178,AIESEC in Miami,"<p>AIESEC in Miami cultivates young people with global mindsets. It's a place where you find life-long friendships, gain soft and hard skills, and meet all types of people across the country and abroad. We work with a wide variety of organizations, including small to medium businesses, multinational corporations, and non-profits to help members gain the skills they need to be the leaders of today.</p>
<p>&nbsp;</p>
<p>&nbsp;Register today at aiesecus.org/join or email miami-president@aiesecus.org for any information.</p>
<p>&nbsp;</p>",miami-president@aiesecus.org,Active,Public,http://aiesecus.org,https://www.instagram.com/lc_miamifl/,https://www.facebook.com/aiesecus/,http://twitter.com/AIESECinMiami
208229,6178,Aikido,"<p>Panther Aikido is an FIU Sports Club that was established in 2009. Panther Aikido is under the American Aikikai Federation. We have been recognized by the Aikido World Headquarters at Hombu Dojo in Japan as an official Aikido dojo. Our instructor is Cedric Capestany, who is a nidan (2nd degree black belt) and has been training in Aikido for about 13 years.</p>",nmora085@fiu.edu,Active,Public,N/A,N/A,http://facebook.com/PantherAikido,http://twitter.com/PantherAikido
208121,6178,Alpha Chi Omega,"<p>Membership in Alpha Chi Omega at FIU combines the best of all worlds: the privilege and leadership opportunities of membership and the fun of a fully developed calendar that includes philanthropy and social events. For Alpha Chi Omegas, sisterhood and friendship are one and the same. We recruit real, genuine women interested in lasting friendship. Best of all, our sisterhood extends well beyond the collegiate experience. We&rsquo;ve initiated more than 200,000 women over the years&hellip;that&rsquo;s an amazing network of friends, sisters, and mentors that will support our FIU chapter for a long, long time.</p>",cp.axofiu@gmail.com,Active,Public,N/A,https://www.instagram.com/axo_fiu/,N/A,http://twitter.com/twitter.com/FIU_AXO
207880,6178,Alpha Epsilon Delta,"<p>The mission of the Society is to encourage and recognize excellence in pre-health scholarship; to stimulate an appreciation of the importance of pre-health education; to promote communication between health profession and pre-health students and educators; to provide a forum for students with common interests; and to use its resources to benefit health organizations, charities and the community. We give our members the ability to gain experience, practice and develop the skills necessary for all disciplines in diverse fields of healthcare such as medical, nursing, dental, pharmaceutical, occupational therapy, etc. through shadowing and research opportunities, workshops, community service, professional development seminars, and more.</p>
<p>To clarify, this isn't a Greek sorority or fraternity. We are open to all fields in healthcare studies such as medical, dental, pharmaceutical, physical therapy, nursing, occupational therapy, and veterinarian.</p>
<p>&nbsp;</p>
<p><strong>Membership</strong></p>
<p><em>Associate Membership</em><br />Associate Member Application, 3.0 GPA, pre-health track.</p>
<p>&nbsp;</p>
<p><em>National Membership- OPTIONAL&nbsp;</em><br />One time fee of $75, National Member Application, 3.2 Cumulative/Science GPA.</p>
<p>*** <strong>Must be an Associate member for at least 1 semester before applying for National&nbsp;</strong></p>",aed@fiu.edu,Active,Public,http://aedfiu.com,https://www.instagram.com/aedfiu/,http://facebook.com/groups/430714876971689,N/A
